category,sub_category,item_type,item_name,brand,sale_price_editable,sale_price,shortage_alert,expire_alert,barcode,description,direct_of_use,base_unit,packet_name,packet_price,packet_barcode,base_unit_qty,default_unit,description_arabic,description_kurdish
category,sub_category,item_type,item_name,Brand,sale price editable,sale_price,Quantity alert,Expiration alert,barcode,description,direct_of_use,UoM,Alt_UoM,Alt_UoM price,packet_barcode,base_unit_qty,default_unit,وصف,وەسف
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,شمعة معطرة برائحة ماء الورد واللبلاب من باث آند بودي ووركس 411 جم – شمعة منعشة بثلاث فتائل بعبير بتلات الورد الناعمة، واللبلاب الذي داعبته قطرات المطر، وخشب الصندل الكريمي، محضّرة بزيوت عطرية فاخرة لتمنحك عبيرًا زهريًا رقيقًا.,مۆمی بۆنداری Bath & Body Works بە بۆنی ئاوی گوڵ و لبلاب ٤١١ گرام – مۆمێکی سێ فیتیلیی فێنککەرەوە، بە بۆنی پەڕەگوڵی نەرمی گوڵەباخ، لبلابی ماچکراو بە باران، و ساندەلوودی کرێمی، کە بە ڕۆنی عەتریی نایاب دروستکراوە بۆ بۆنێکی گوڵی ناسک.
Cosmetic,Candles,Candle,Limoncello Scented Candle 411g,Bath And Body Works,0,27500,0,0,667554293472,"Bath & Body Works Limoncello Scented Candle 411 g – a bright and uplifting 3-wick candle with notes of sparkling lemon zest, sugared mint, and fresh verbena, filling your space with a zesty, refreshing citrus aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,شمعة باث & بودي ووركس المعطرة برائحة ليمونتشيلو 411 غرام – شمعة مشرقة ومبهجة بثلاث فتائل، بنفحات من قشر الليمون المتلألئ، والنعناع السكري، ورعي الحمام الطازج، تملأ مساحتك بعبير حمضي منعش ولاذع.,مۆمی بۆنخۆشی لیمۆنچێلۆی Bath & Body Works، ٤١١ گرام – مۆمێکی سێ فیتەی درەوشاوە و ورەبەرزکەرەوەیە، بە بۆنی توێکڵی لیمۆی بریقەدار، نەعنای شەکراوی، و ڤێربینای تازە، کە ژوورەکەت پڕ دەکاتەوە بە بۆنێکی لیمۆیی تیژ و فێنککەرەوە.
Cosmetic,Candles,Candle,Bubbly Rose Scented Candle 411g,Bath And Body Works,0,27500,0,0,667558155196,"Bath & Body Works Bubbly Rosé Scented Candle 411 g – a sparkling and cheerful 3-wick candle with notes of pink sparkling rosé, sweet blood orange, and cranberry, creating a fruity, effervescent, and celebratory aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,"شمعة باث آند بودي ووركس المعطرة برائحة ""بابلِي روزيه"" 411 غرام – شمعة متلألئة ومبهجة بثلاث فتائل، بنفحات من الروزيه الوردي المتلألئ، والبرتقال الدموي الحلو، والتوت البري، لتُنتج عبيرًا فاكهيًا فوارًا واحتفاليًا.",مۆمی بۆنداری باث ئاند بۆدی وۆرکز بابڵی ڕۆزێ ٤١١ گرام – مۆمێکی سێ فیتڵەیی پڕشنگدار و دڵخۆشکەرە، کە بۆنی ڕۆزێی پەمەیی پڕشنگدار، پرتەقاڵی خوێنیی شیرین، و کرانبێری تێدایە، بۆنێکی میوەیی، گەرموگوڕ و ئاهەنگگێڕانە دروست دەکات.
Cosmetic,Candles,Candle,Gingham Unstoppable Scented Candle 411g,Bath And Body Works,0,27500,0,0,667559268604,"Bath & Body Works Gingham Unstoppable Scented Candle 411 g – a fresh and uplifting 3-wick candle with notes of blue freesia, sparkling mandarin, and sweet clementine, crafted with premium fragrance oils for a bright, floral-citrus aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,باث آند بودي ووركس شمعة غينغهام المعطرة التي لا تُقاوَم بوزن 411 غرام – شمعة منعشة ومنشطة بثلاث فتائل، بنفحات من الفريزيا الزرقاء، واليوسفي المتلألئ، والكليمنتين الحلو، مصنوعة من زيوت عطرية فاخرة لرائحة مشرقة، زهرية حمضية.,Bath & Body Works Gingham Unstoppable مۆمی بۆنخۆش ٤١١ گ – مۆمێکی سێ فیتە، فێنک و وریاکەرەوە بە نۆتەکانی فریزیای شین، ماندالینی درەوشاوە، و کڵیمەنتینی شیرین، دروستکراو بە زەیتی بۆنخۆشی نایاب بۆ بەخشینی بۆنێکی گەشاوە، گوڵاویی-ترش.
Cosmetic,Candles,Candle,White Barn Flannel 411g,Bath And Body Works,0,26000,0,0,667558803714,"Bath & Body Works White Barn Flannel Scented Candle 411 g – a warm and cozy 3-wick candle with notes of fresh bergamot, soft sage, and cozy woods, crafted with premium fragrance oils for a comforting, autumn-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,شمعة باث آند بودي ووركس وايت بارن فلانيل المعطرة 411 جرام – شمعة دافئة ومريحة بثلاث فتائل، بنفحات من البرغموت المنعش، والمريمية الناعمة، والأخشاب الدافئة، مُحضّرة بزيوت عطرية فاخرة لرائحة مريحة مستوحاة من أجواء الخريف.,مۆمی بۆنخۆشی فلانێڵ وایت بارن باث ئەند بۆدی وۆرکس ٤١١ گرام – مۆمێکی سێ-فیتڵەیی گەرم و ئارامبەخش بە نۆتەکانی بێرگامۆتی تازە، سەیجی نەرم، و داری ئارامبەخش، دروستکراو بە ڕۆنە بۆنخۆشە نایابەکان بۆ بۆنێکی ئارامبەخش وەرگیراو لە پاییز.
Cosmetic,Candles,Candle,Pumpkin Cinnamon Bun 411g,Bath And Body Works,0,26000,0,0,667559303794,"Bath & Body Works Pumpkin Cinnamon Bun Scented Candle 411 g – a warm and sweet 3-wick candle with notes of spiced pumpkin, buttery cinnamon, and creamy icing, crafted with premium fragrance oils for a cozy, autumn-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,شمعة باث آند بودي وركس المعطرة برائحة لفائف اليقطين والقرفة 411 جرام – شمعة بثلاث فتائل دافئة وحلوة، مع نفحات من اليقطين المتبل، والقرفة الزبدية، والكريمة الغنية، مصنوعة بزيوت عطرية فاخرة لعبير دافئ ومستوحى من الخريف.,مۆمی بۆنخۆشی پەمپکین و دارچینی Bath & Body Works، ٤١١ گرام – مۆمێکی سێ فیتە گەرم و شیرین، بە بۆنەکانی پەمپکینی بەهاراتدار، دارچینیی کەرەیی، و ئایسنگی کرێمی، کە بە زەیتە بۆنخۆشە نایابەکان دروستکراوە بۆ دروستکردنی بۆنێکی پاییزیی خۆش و ئارامبەخش.
Cosmetic,Candles,Candle,Hello Beautiful Scented Candle 411g,Bath And Body Works,0,27500,0,0,667554949225,"Bath & Body Works Hello Beautiful Scented Candle 411 g – a bright and uplifting 3-wick candle with notes of fresh peony, white freesia, and soft citrus, crafted with premium fragrance oils for a cheerful, floral aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,باث آند بودي وركس شمعة هيلو بيوتيفل المعطرة 411 جرام – شمعة مشرقة ومنعشة بثلاث فتائل بنفحات من الفاوانيا الطازجة، الفريزيا البيضاء، والحمضيات الناعمة، مُحضّرة بزيوت عطرية فاخرة لرائحة زهرية مبهجة.,Bath & Body Works Hello Beautiful مۆمی بۆنخۆشی 411 گرام – مۆمێکی سێ فیتڵەیی گەشاوە و دڵفڕێن بە بۆنی گوڵی پیۆنیی تازە، فریزیای سپی، و ترشەمەنیی نەرم، دروستکراوە بە ڕۆنی بۆنی باڵا بۆ بۆنێکی گەشاوە و گوڵاوی.
Cosmetic,Candles,Candle,White Barn Midnight Cocktails 411g,Bath And Body Works,0,26000,0,0,667559307266,"Bath & Body Works White Barn Midnight Cocktails Scented Candle 411 g – a rich and festive 3-wick candle with notes of blackberry liqueur, sparkling citrus, and sugared berries, crafted with premium fragrance oils for a bold, celebratory aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,شمعة باث آند بودي وركس وايت بارن المعطرة كوكتيلات منتصف الليل 411 غرام – شمعة غنية واحتفالية ثلاثية الفتيل بعبير ليكور التوت الأسود، الحمضيات الفوارة، والتوت المُسكّر، مُعدّة بزيوت عطرية فاخرة لرائحة جريئة وعبير احتفالي.,مۆمی بۆنداری Bath & Body Works White Barn Midnight Cocktails ٤١١ گ – مۆمێکی سێ فیتڵەیی دەوڵەمەند و جەژنانە بە بۆنی لیکۆری تووتڕک، ترشەمەنی پڕ بریقە، و میوەی شیرین کراو، دروستکراو بە ڕۆنی بۆنی نایاب بۆ بۆنێکی بوێر و جەژنانە.
Cosmetic,Candles,Candle,Tis The Season Scented Candle 411g,Bath And Body Works,0,26000,0,0,667559086123,"Bath & Body Works Tis The Season Scented Candle 411 g – a festive 3-wick candle with notes of juicy red apple, fresh pine, and warm spices, crafted with premium fragrance oils for a cozy holiday-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,"باث آند بودي ووركس شمعة ""موسم الأعياد"" المعطرة 411 غ – شمعة احتفالية بثلاث فتائل بنفحات التفاح الأحمر الغض، والصنوبر المنعش، والبهارات الدافئة، مصنوعة من زيوت عطرية فاخرة لتوفير عبير دافئ مستوحى من الأعياد.",Bath & Body Works Tis The Season Scented Candle 411 g – مۆمێکی بۆنخۆشی سێ فیتڵەیی جەژنانە بە بۆنی سێوی سووری ئاودار، سنۆبەری تازە و بەهاراتی گەرم، دروستکراو بە زەیتی بۆنخۆشی نایاب بۆ بۆنێکی ئاسوودەبەخشی جەژنانە.
Cosmetic,Candles,Candle,cranberry & Gala Apple Scented Candle 411g,Bath And Body Works,0,26000,0,0,667559294962,"Bath & Body Works Cranberry & Gala Apple Scented Candle 411 g – a bright and fruity 3-wick candle with notes of tart cranberry, sweet Gala apple, and juicy red berries, crafted with premium fragrance oils for a fresh, uplifting aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,شمعة باث آند بودي ووركس المعطرة برائحة التوت البري وتفاح غالا 411 غرام – شمعة بثلاث فتائل، مشرقة وفاكهية، مع نفحات من التوت البري اللاذع وتفاح غالا الحلو والتوت الأحمر العصيري، مصممة بزيوت عطرية فاخرة لرائحة منعشة ومنشطة.,Bath & Body Works مۆمی بۆنخۆشی Cranberry & Gala Apple ٤١١ گرام – مۆمێکی سێ فیتڵەی گەشاوە و میوەییە بە تێکەڵەیەک لە بۆنی کران بێریی ترش، سێوی گاڵای شیرین، و تووی سووری ئاودار، کە بە ڕۆنە بۆنخۆشە نایابەکان دروستکراوە بۆ بۆنێکی تازە و دڵخۆشکەر.
Cosmetic,Candles,Candle,Santorini Coast Scented Candle 411g,Bath And Body Works,0,26000,0,0,667559276807,"Bath & Body Works Santorini Coast Scented Candle 411 g – a fresh and serene 3-wick candle with notes of Mediterranean citrus, sea breeze, and soft jasmine, crafted with premium fragrance oils for a coastal, relaxing aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,"شمعة باث آند بودي ووركس المعطرة ""ساحل سانتوريني"" 411 جرام – شمعة منعشة وهادئة بثلاث فتائل، بنفحات من حمضيات البحر الأبيض المتوسط ونسيم البحر وياسمين ناعم، صُممت بزيوت عطرية فاخرة لتمنحك رائحة شاطئية تبعث على الاسترخاء.",مۆمی بۆنداری باتھ ئاند بۆدی وۆرکس کەنارەکانی سانتۆرینی ٤١١ گرام – مۆمێکی سێ-فیتەیی فێنک و ئارام کە بۆنی ترشەمەنییەکانی دەریای ناوەڕاست، شنەی دەریا و یاسەمینی نەرمی لێدێت، بە ڕۆنی بۆنخۆشی نایاب دروستکراوە بۆ بەخشینی بۆنێکی کەناراوی و ئارامبەخش.
Cosmetic,Candles,Candle,Paris Cafe Scented Candle 411g,Bath And Body Works,0,26000,0,0,667559264316,"Bath & Body Works Paris Café Scented Candle 411 g – a warm and inviting 3-wick candle with notes of freshly brewed coffee, sweet pastries, and creamy vanilla, crafted with premium fragrance oils for a cozy café-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,Bath & Body Works شمعة معطرة برائحة باريس كافيه 411 جم – شمعة دافئة وجذابة بثلاث فتائل مع نفحات القهوة الطازجة والمعجنات الحلوة والفانيليا الكريمية، مصنوعة بزيوت عطرية فاخرة لتجربة عطرية مستوحاة من أجواء المقهى المريحة.,Bath & Body Works Paris Café مۆمی بۆنخۆش ٤١١ گرام – مۆمێکی گەرم و سەرنجڕاکێشی سێ فتیڵەیی، بە بۆنی قاوەی تازە ئامادەکراو، پاسترییە شیرینەکان و ڤانیلای کرێمی، دروستکراوە بە زەیتی بۆنخۆشی نایاب بۆ دروستکردنی بۆنێکی کافێی گەرم و ئارامبەخش.
Cosmetic,Candles,Candle,White Gardenia Scented Candle 411g,Bath And Body Works,0,26250,0,0,667559143222,"Bath & Body Works White Gardenia Scented Candle 411 g – a delicate 3-wick candle with notes of fresh gardenia petals, soft jasmine, and creamy musk, crafted with premium fragrance oils for a romantic, floral aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,شمعة باث & بودي ووركس معطرة برائحة الغاردينيا البيضاء 411 غ – شمعة رقيقة بثلاث فتائل بنفحات من بتلات الغاردينيا المنعشة والياسمين الناعم والمسك الكريمي، مصنوعة بزيوت عطرية فاخرة لتمنحك عبيرًا رومانسيًا وزهريًا.,Bath & Body Works مۆمی بۆنخۆشی گوڵەباخی سپی 411 گ – مۆمێکی ناسکی سێ فیتڵەیی بە نۆتەکانی پەڕەکانی گوڵەباخی تازە، یاسەمینی نەرم، و میسکی کرێمی، کە بە زەیتە بۆنخۆشە نایابەکان دروستکراوە بۆ بۆنێکی ڕۆمانسی و گوڵی.
Cosmetic,Candles,Candle,Vanilla Bean Noel Scented Candle 411g,Bath And Body Works,0,26000,0,0,667559081913,"Bath & Body Works Vanilla Bean Noel Scented Candle 411 g – a warm and festive 3-wick candle with notes of creamy vanilla, sugared berries, and soft caramel, crafted with premium fragrance oils for a cozy holiday-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,بث آند بودي وركس شمعة معطرة فانيليا بين نويل 411 جرام – شمعة دافئة واحتفالية بـ 3 فتائل، بنفحات من الفانيليا الكريمية والتوت السكري والكراميل الناعم، مصنوعة من زيوت عطرية فاخرة لتوفير رائحة دافئة ومريحة مستوحاة من الأعياد.,مۆمی بۆنخۆشی ڤانیلا بین نۆیل ٤١١ گرام لە باث ئەند بۆدی وۆرکز – مۆمێکی سێ فتیلە، گەرم و جەژنانە، کە بۆنی ڤانیلای کرێمی، توتڕکی شەکرکراو و کارامێلی نەرمی لێ دێت، دروستکراوە بە زەیتە بۆندارە نایابەکان بۆ بۆنێکی ئارامبەخشی جەژنانە.
Cosmetic,Candles,Candle,Freshly Brewed Coffee Scented Candle 411g,Bath And Body Works,0,26000,0,0,667559295174,"Bath & Body Works Freshly Brewed Coffee Scented Candle 411 g – a rich and cozy 3-wick candle with notes of hot roasted coffee beans, creamy caramel, and warm vanilla, crafted with premium fragrance oils for a café-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,Bath & Body Works شمعة معطرة برائحة القهوة الطازجة 411 غرام – شمعة بثلاث فتائل غنية ومريحة بنفحات من حبوب القهوة المحمصة الساخنة، الكراميل الكريمي، والفانيليا الدافئة، مصنوعة من زيوت عطرية فاخرة لرائحة مستوحاة من أجواء المقاهي.,مۆمی بۆنخۆشی قاوەی تازە لێنراوی باث & بۆدی وۆرکس ٤١١ گرام – مۆمێکی سێ فیتڵەیی تێر و گەرم و خۆشە، کە بە تێکەڵەی بۆنی دەنکە قاوەی گەرمی برژاو، کارامێڵی کرێمی، و ڤانێلای گەرم دروستکراوە، و بە ڕۆنی بۆنخۆشی نایاب ئامادەکراوە بۆ ئەوەی بۆنێکی کافێیی دڵڕفێن ببەخشێت.
Cosmetic,Candles,Candle,Starfruit Sangria Scented Candle 411g,Bath And Body Works,0,26000,0,0,667559278771,"Bath & Body Works Starfruit Sangria Scented Candle 411 g – a tropical and fruity 3-wick candle with notes of starfruit, juicy citrus, and sweet berries, crafted with premium fragrance oils for a vibrant, summery aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,شمعة باث آند بودي ووركس المعطرة بنجمة الفاكهة السانجريا، 411 جرام – شمعة استوائية وفاكهية بثلاث فتائل، مع نفحات من نجمة الفاكهة، الحمضيات الغنية بالعصارة، والتوتيات الحلوة، مصنوعة بزيوت عطرية فاخرة لرائحة صيفية نابضة بالحياة.,باس ئەند بۆدی وۆرکس ستارفرویت سانگریا مۆمێکی بۆنخۆش 411 گرام – مۆمێکی سێ فیتڵەیی گەرمەسێری و میوەییە بە نۆتەکانی ستارفرویت، میوە ترشەکانی ئاودار، و تووە شیرینەکان، کە بە زەیتی بۆنخۆشی کوالیتی بەرز دروستکراوە بۆ دروستکردنی بۆنێکی زیندوو و هاوینەیی.
Cosmetic,Candles,Candle,Coco Paradise Scented Candle 411g,Bath And Body Works,0,27500,0,0,667558125069,"Bath & Body Works Coco Paradise Scented Candle 411 g – a tropical 3-wick candle with notes of coconut, creamy vanilla, and exotic floral accents, crafted with premium fragrance oils for a relaxing, island-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,باث & بودي ووركس شمعة كوكو بارادايس المعطرة 411 غرام – شمعة استوائية بثلاث فتائل بنفحات جوز الهند والفانيليا الكريمية واللمسات الزهرية الغريبة، مصنوعة من زيوت عطرية فاخرة لتمنحك عبقًا مريحًا مستوحى من الجزر.,باث ئەند بۆدی وۆرکس کۆکۆ پارادایس مۆمی بۆنخۆش ٤١١ گرام – مۆمێکی سێ-فیتیلەی گەرمەسێری بە بۆنی گوێزی هیندی، وانیلای کرێمی و لەمسەکانی گوڵی نامۆ، دروستکراوە بە زەیتە بۆنخۆشە کوالێتی بەرزەکان بۆ بۆنێکی ئارامبەخش و ئیلهاموەرگیراو لە دوورگە.
